time_s,p_hull_kg_m_s,p_photon_kg_m_s,p_total_kg_m_s
8.400000000000001e-08,-1.5175518524885348e-08,1.5175518524885653e-08,3.044024654195142e-22
8.500000000000001e-08,-2.016897803346311e-08,2.0168978033463413e-08,3.044024654195142e-22
8.6e-08,-2.516243754204087e-08,2.516243754204118e-08,3.110199103199384e-22
8.700000000000001e-08,-3.0155897050618635e-08,3.015589705061894e-08,3.044024654195142e-22
8.800000000000001e-08,-3.51493565591964e-08,3.5149356559196706e-08,3.044024654195142e-22
8.9e-08,-4.014281606777417e-08,4.0142816067774466e-08,2.9778502051908996e-22
9.000000000000001e-08,-4.5136275576351935e-08,4.513627557635223e-08,2.9778502051908996e-22
9.100000000000001e-08,-5.0129735084929695e-08,5.012973508492999e-08,2.9778502051908996e-22
9.2e-08,-5.512319459350745e-08,5.512319459350776e-08,3.110199103199384e-22
9.300000000000001e-08,-6.01166541020852e-08,6.011665410208552e-08,3.1763735522036263e-22
9.400000000000001e-08,-6.511011361066296e-08,6.511011361066329e-08,3.3087224502121107e-22
9.5e-08,-7.010357311924071e-08,7.010357311924105e-08,3.441071348220595e-22
9.600000000000001e-08,-7.509703262781846e-08,7.50970326278188e-08,3.441071348220595e-22
9.700000000000001e-08,-8.009049213639622e-08,8.009049213639657e-08,3.5734202462290796e-22
9.8e-08,-8.508395164497397e-08,8.508395164497434e-08,3.705769144237564e-22
9.9e-08,-9.007741115355172e-08,9.00774111535521e-08,3.8381180422460484e-22
1.0000000000000001e-07,-9.507087066212948e-08,9.507087066212986e-08,3.8381180422460484e-22
1.01e-07,-1.0006433017070723e-07,1.0006433017070763e-07,3.970466940254533e-22
1.02e-07,-1.0505778967928498e-07,1.0505778967928539e-07,4.1028158382630173e-22
1.0300000000000001e-07,-1.1005124918786274e-07,1.1005124918786316e-07,4.235164736271502e-22
1.04e-07,-1.150447086964405e-07,1.1504470869644091e-07,4.1028158382630173e-22
1.05e-07,-1.2003816820501827e-07,1.200381682050187e-07,4.235164736271502e-22
1.0600000000000001e-07,-1.2503162771359604e-07,1.2503162771359643e-07,3.970466940254533e-22
1.07e-07,-1.300250872221738e-07,1.300250872221742e-07,3.970466940254533e-22
1.08e-07,-1.3501854673075157e-07,1.3501854673075197e-07,3.970466940254533e-22
1.0900000000000001e-07,-1.4001200623932934e-07,1.4001200623932973e-07,3.970466940254533e-22
1.1e-07,-1.450054657479071e-07,1.450054657479075e-07,3.970466940254533e-22
1.11e-07,-1.4999892525648487e-07,1.4999892525648527e-07,3.970466940254533e-22
1.1200000000000001e-07,-1.5499238476506264e-07,1.5499238476506303e-07,3.970466940254533e-22
1.13e-07,-1.599858442736404e-07,1.599858442736408e-07,3.970466940254533e-22
1.14e-07,-1.6497930378221817e-07,1.6497930378221854e-07,3.705769144237564e-22
1.1500000000000001e-07,-1.6997276329079594e-07,1.699727632907963e-07,3.705769144237564e-22
1.16e-07,-1.749662227993737e-07,1.7496622279937407e-07,3.705769144237564e-22
1.17e-07,-1.7995968230795147e-07,1.7995968230795184e-07,3.705769144237564e-22
1.1800000000000001e-07,-1.8495314181652924e-07,1.849531418165296e-07,3.705769144237564e-22
1.1900000000000001e-07,-1.89946601325107e-07,1.8994660132510737e-07,3.705769144237564e-22
1.2000000000000002e-07,-1.9494006083368477e-07,1.9494006083368514e-07,3.705769144237564e-22
