Time_s,ChassisPosition_m,ChassisVelocity_ms,ChassisMomentum_kgms,PacketPosition_m,PacketEnergy_J,SystemCenterOfMass_m,LorentzGamma,ThermalLoss_J,TotalEnergy_J
1.1708000000000759e-06,-1.2133224447800266e-05,246.71842128535758,246718.42128544115,9.430382196575541,73964321951041.92,-4.372355138682364e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.170900000000076e-06,-1.210855260567173e-05,246.71842128535758,246718.42128544115,9.400402975447383,73964321951041.92,-4.3723551183783415e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171000000000076e-06,-1.2083880763543195e-05,246.71842128535758,246718.42128544115,9.370423754319225,73964321951041.92,-4.372355098074321e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171100000000076e-06,-1.205920892141466e-05,246.71842128535758,246718.42128544115,9.340444533191066,73964321951041.92,-4.372355077770298e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171200000000076e-06,-1.2034537079286124e-05,246.71842128535758,246718.42128544115,9.310465312062908,73964321951041.92,-4.372355057466275e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171300000000076e-06,-1.2009865237157588e-05,246.71842128535758,246718.42128544115,9.28048609093475,73964321951041.92,-4.372355037162253e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171400000000076e-06,-1.1985193395029052e-05,246.71842128535758,246718.42128544115,9.25050686980659,73964321951041.92,-4.372355016858232e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171500000000076e-06,-1.1960521552900517e-05,246.71842128535758,246718.42128544115,9.220527648678432,73964321951041.92,-4.372354996554208e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171600000000076e-06,-1.1935849710771981e-05,246.71842128535758,246718.42128544115,9.190548427550274,73964321951041.92,-4.372354976250186e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171700000000076e-06,-1.1911177868643445e-05,246.71842128535758,246718.42128544115,9.160569206422116,73964321951041.92,-4.372354955946164e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171800000000076e-06,-1.188650602651491e-05,246.71842128535758,246718.42128544115,9.130589985293957,73964321951041.92,-4.372354935642142e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.171900000000076e-06,-1.1861834184386374e-05,246.71842128535758,246718.42128544115,9.100610764165799,73964321951041.92,-4.372354915338119e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172000000000076e-06,-1.1837162342257838e-05,246.71842128535758,246718.42128544115,9.07063154303764,73964321951041.92,-4.372354895034097e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172100000000076e-06,-1.1812490500129303e-05,246.71842128535758,246718.42128544115,9.040652321909482,73964321951041.92,-4.372354874730074e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172200000000076e-06,-1.1787818658000767e-05,246.71842128535758,246718.42128544115,9.010673100781323,73964321951041.92,-4.372354854426051e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172300000000076e-06,-1.1763146815872232e-05,246.71842128535758,246718.42128544115,8.980693879653165,73964321951041.92,-4.3723548341220305e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172400000000076e-06,-1.1738474973743696e-05,246.71842128535758,246718.42128544115,8.950714658525007,73964321951041.92,-4.372354813818008e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172500000000076e-06,-1.171380313161516e-05,246.71842128535758,246718.42128544115,8.920735437396848,73964321951041.92,-4.372354793513985e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172600000000076e-06,-1.1689131289486625e-05,246.71842128535758,246718.42128544115,8.89075621626869,73964321951041.92,-4.3723547732099625e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172700000000076e-06,-1.1664459447358089e-05,246.71842128535758,246718.42128544115,8.860776995140531,73964321951041.92,-4.372354752905942e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172800000000076e-06,-1.1639787605229553e-05,246.71842128535758,246718.42128544115,8.830797774012373,73964321951041.92,-4.372354732601918e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.172900000000076e-06,-1.1615115763101018e-05,246.71842128535758,246718.42128544115,8.800818552884214,73964321951041.92,-4.372354712297896e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.173000000000076e-06,-1.1590443920972482e-05,246.71842128535758,246718.42128544115,8.770839331756056,73964321951041.92,-4.372354691993874e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.173100000000076e-06,-1.1565772078843946e-05,246.71842128535758,246718.42128544115,8.740860110627898,73964321951041.92,-4.372354671689852e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
1.173200000000076e-06,-1.154110023671541e-05,246.71842128535758,246718.42128544115,8.71088088949974,73964321951041.92,-4.372354651385829e-06,1.0000000000003386,76035772792832.0,8.987566787380694e+19
